date,qty
2009-12-25,72314.0
2009-12-26,66586.0
2009-12-27,125199.0
2009-12-28,91544.0
2009-12-29,76995.0
2009-12-30,97289.0
2009-12-31,41442.0
2010-01-01,0.0
2010-01-02,193196.0
2010-01-03,156390.0
2010-01-04,202925.0
2010-01-05,129540.0
2010-01-06,175157.0
2010-01-07,92608.0
2010-01-08,207602.0
2010-01-09,261481.0
2010-01-10,115486.0
2010-01-11,157222.0
2010-01-12,132541.0
2010-01-13,31503.0
2010-01-14,64126.0
2010-01-15,72933.0
2010-01-16,66519.0
2010-01-17,103456.0
2010-01-18,116631.0
2010-01-19,113619.0
2010-01-20,61065.0
2010-01-21,90820.0
2010-01-22,118734.0
2010-01-23,94585.0
2010-01-24,194196.0
2010-01-25,169815.0
2010-01-26,150454.0
2010-01-27,92710.0
2010-01-28,142134.0
2010-01-29,98368.0
2010-01-30,106155.0
2010-01-31,180401.0
2010-02-01,0.0
2010-02-02,182635.0
2010-02-03,238275.0
2010-02-04,107198.0
2010-02-05,144251.0
2010-02-06,130896.0
2010-02-07,104426.0
2010-02-08,165942.0
2010-02-09,337883.0
2010-02-10,211617.0
2010-02-11,183127.0
2010-02-12,163844.0
2010-02-13,88851.0
2010-02-14,165293.0
2010-02-15,124298.0
2010-02-16,192600.0
2010-02-17,135040.0
2010-02-18,103287.0
2010-02-19,130989.0
2010-02-20,103532.0
2010-02-21,228436.0
2010-02-22,175360.0
2010-02-23,235217.0
2010-02-24,126039.0
2010-02-25,132742.0
2010-02-26,119674.0
2010-02-27,129653.0
2010-02-28,239198.0
2010-03-01,39513.0
2010-03-02,82393.0
2010-03-03,186647.0
2010-03-04,95813.0
2010-03-05,100835.0
2010-03-06,116153.0
2010-03-07,115798.0
2010-03-08,253248.0
2010-03-09,291151.0
2010-03-10,192989.0
2010-03-11,199282.0
2010-03-12,118225.0
2010-03-13,115776.0
2010-03-14,183563.0
2010-03-15,128124.0
2010-03-16,177020.0
2010-03-17,132537.0
2010-03-18,124130.0
2010-03-19,100258.0
2010-03-20,48162.0
2010-03-21,111440.0
2010-03-22,82615.0
2010-03-23,118183.0
2010-03-24,136374.0
2010-03-25,110774.0
2010-03-26,69515.0
2010-03-27,81878.0
2010-03-28,117204.0
2010-03-29,83358.0
2010-03-30,131427.0
2010-03-31,88386.0
2010-04-01,93550.0
2010-04-02,151824.0
2010-04-03,177120.0
2010-04-04,170481.0
2010-04-05,164039.0
2010-04-06,69280.0
2010-04-07,163873.0
2010-04-08,203024.0
2010-04-09,223949.0
2010-04-10,222244.0
2010-04-11,133505.0
2010-04-12,64366.0
2010-04-13,191878.0
2010-04-14,176504.0
2010-04-15,216913.0
2010-04-16,168632.0
2010-04-17,165077.0
2010-04-18,196888.0
2010-04-19,164419.0
2010-04-20,223167.0
2010-04-21,181922.0
2010-04-22,166170.0
2010-04-23,162567.0
2010-04-24,113170.0
2010-04-25,230670.0
2010-04-26,159878.0
2010-04-27,176930.0
2010-04-28,183792.0
2010-04-29,149544.0
2010-04-30,107551.0
2010-05-01,175855.0
2010-05-02,108371.0
2010-05-03,152024.0
2010-05-04,149210.0
2010-05-05,112846.0
2010-05-06,66306.0
2010-05-07,145529.0
2010-05-08,156925.0
2010-05-09,237374.0
2010-05-10,248366.0
2010-05-11,88116.0
2010-05-12,143682.0
2010-05-13,128448.0
2010-05-14,102104.0
2010-05-15,106760.0
2010-05-16,164297.0
2010-05-17,146571.0
2010-05-18,141188.0
2010-05-19,173599.0
2010-05-20,145302.0
2010-05-21,104323.0
2010-05-22,70382.0
2010-05-23,174720.0
2010-05-24,84559.0
2010-05-25,153936.0
2010-05-26,133550.0
2010-05-27,130763.0
2010-05-28,69463.0
2010-05-29,85651.0
2010-05-30,125904.0
2010-05-31,72258.0
2010-06-01,100213.0
2010-06-02,109786.0
2010-06-03,116854.0
2010-06-04,204973.0
2010-06-05,103483.0
2010-06-06,144009.0
2010-06-07,174170.0
2010-06-08,147623.0
2010-06-09,256360.0
2010-06-10,225865.0
2010-06-11,116589.0
2010-06-12,245036.0
2010-06-13,145850.0
2010-06-14,68222.0
2010-06-15,149090.0
2010-06-16,113108.0
2010-06-17,69110.0
2010-06-18,77712.0
2010-06-19,92581.0
2010-06-20,172905.0
2010-06-21,96643.0
2010-06-22,197113.0
2010-06-23,194201.0
2010-06-24,107376.0
2010-06-25,56209.0
2010-06-26,96056.0
2010-06-27,120054.0
2010-06-28,117734.0
2010-06-29,147341.0
2010-06-30,152646.0
2010-07-01,52789.0
2010-07-02,174740.0
2010-07-03,237142.0
2010-07-04,188797.0
2010-07-05,100361.0
2010-07-06,79385.0
2010-07-07,126263.0
2010-07-08,175110.0
2010-07-09,244808.0
2010-07-10,219369.0
2010-07-11,120048.0
2010-07-12,181188.0
2010-07-13,193033.0
2010-07-14,135478.0
2010-07-15,63942.0
2010-07-16,118946.0
2010-07-17,100884.0
2010-07-18,192799.0
2010-07-19,139471.0
2010-07-20,210880.0
2010-07-21,132313.0
2010-07-22,68711.0
2010-07-23,75304.0
2010-07-24,97260.0
2010-07-25,176847.0
2010-07-26,180406.0
2010-07-27,228724.0
2010-07-28,233816.0
2010-07-29,218654.0
2010-07-30,131427.0
2010-07-31,134527.0
2010-08-01,39125.0
2010-08-02,80359.0
2010-08-03,116696.0
2010-08-04,175641.0
2010-08-05,91355.0
2010-08-06,121759.0
2010-08-07,114195.0
2010-08-08,242540.0
2010-08-09,237956.0
2010-08-10,177686.0
2010-08-11,128951.0
2010-08-12,232893.0
2010-08-13,166045.0
2010-08-14,112118.0
2010-08-15,264828.0
2010-08-16,194395.0
2010-08-17,229677.0
2010-08-18,286647.0
2010-08-19,212379.0
2010-08-20,184925.0
2010-08-21,159161.0
2010-08-22,260607.0
2010-08-23,229522.0
2010-08-24,288048.0
2010-08-25,255945.0
2010-08-26,302472.0
2010-08-27,257360.0
2010-08-28,117736.0
2010-08-29,226762.0
2010-08-30,254829.0
2010-08-31,283062.0
